platform,date,opponent,time,result,my_centipawn,opp_centipawn,midgame,endgame,total
LiShogi,2024-04-12,Kaden,15|30,L,213,152,53,56,161
LiShogi,2024-05-02,Kaden,15|30,L,623,417,31,47,57
LiShogi,2024-05-02,Kaden,15|30,W,321,522,27,47,55
LiShogi,2024-05-04,Kaden,15|30,W,289,449,24,45,76
LiShogi,2024-05-04,Kaden,15|30,W,256,428,37,57,63
LiShogi,2024-05-04,Kaden,15|30,L,161,41,32,52,94
LiShogi,2024-05-05,Kaden,15|30,L,363,211,39,65,85
LiShogi,2024-05-05,Kaden,15|30,L,180,46,26,34,80
LiShogi,2024-05-10,Kaden,15|30,L,585,463,35,62,84
LiShogi,2024-05-10,Kaden,15|30,W,257,371,23,51,84
LiShogi,2024-05-10,Kaden,10|30,L,372,248,17,41,85
LiShogi,2024-05-10,Kaden,15|30,W,766,871,39,53,88
LiShogi,2024-05-10,Kaden,15|30,W,109,217,36,42,102
LiShogi,2024-05-12,Kaden,15|30,L,284,119,36,61,65
LiShogi,2024-05-12,Kaden,15|30,L,429,242,20,48,62
LiShogi,2024-05-13,Kaden,180|180,W,165,293,46,58,58
LiShogi,2024-05-17,Kaden,15|30,W,449,588,17,48,76
LiShogi,2024-05-17,Kaden,8|10,L,234,48,23,43,57
LiShogi,2024-05-17,Stephen,15|30,W,165,369,34,42,54
LiShogi,2024-05-17,Stephen,15|30,W,91,250,19,43,73
LiShogi,2024-05-17,Jay,15|30,W,637,797,25,58,94
LiShogi,2024-05-17,Jay,15|30,W,352,447,41,72,111
LiShogi,2024-05-17,Richard,15|30,W,214,367,14,71,71
LiShogi,2024-05-17,Kaden,15|30,W,311,390,28,115,125
LiShogi,2024-05-18,Sophia,15|30,W,428,631,21,59,59
LiShogi,2024-05-19,Kaden,15|30,W,39,277,31,31,31
LiShogi,2024-05-19,Kaden,15|30,L,332,211,52,85,87
LiShogi,2024-05-19,Kaden,15|30,W,281,390,45,59,103
LiShogi,2024-05-21,Kaden,180|180,L,434,269,44,58,59
LiShogi,2024-05-21,Kaden,15|30,W,273,367,25,45,80
LiShogi,2024-05-21,Kaden,15|30,W,259,471,15,27,59
LiShogi,2024-05-23,Alan,15|30,W,556,647,35,50,124
LiShogi,2024-05-23,Rishabh,15|30,W,320,577,18,39,43
LiShogi,2024-05-23,Rishabh,15|30,L,600,474,45,47,80
LiShogi,2024-05-23,Kaden,15|30,W,593,692,25,53,114
LiShogi,2024-05-24,Kaden,35|45,L,344,253,39,50,137
LiShogi,2024-05-25,Kaden,5|10,W,236,383,25,33,33
LiShogi,2024-05-25,Kaden,5|10,L,147,50,34,61,115
LiShogi,2024-05-31,Kaden,8|16,W,272,447,13,52,61
LiShogi,2024-06-01,Kaden,45|90,W,395,500,51,68,88
LiShogi,2024-06-02,Kaden,30|40,L,713,537,21,58,71
LiShogi,2024-06-03,Kaden,45|90,W,329,425,20,78,101
LiShogi,2024-06-06,Kaden,15|30,W,133,303,35,54,54
LiShogi,2024-06-06,Kaden,10|20,W,392,473,47,53,143
LiShogi,2024-06-13,Ishaan,15|30,W,97,254,45,56,70
LiShogi,2024-06-13,Dhruv,15|30,L,250,88,11,41,69
LiShogi,2024-06-13,Ethan,15|30,W,279,498,15,27,51
LiShogi,2024-06-13,Ethan,15|30,W,205,406,20,52,52
LiShogi,2024-06-14,Dhruv,15|30,L,181,18,20,42,68
LiShogi,2024-06-14,Dhruv,15|30,L,227,98,43,45,85
LiShogi,2024-06-14,Kaden,15|30,W,40,453,25,27,27
LiShogi,2024-06-14,Kaden,15|30,L,260,160,30,32,109
LiShogi,2024-06-18,ginnnga,10|30,L,517,356,35,49,69
LiShogi,2024-06-18,Rohan,15|30,W,224,358,36,52,76
LiShogi,2024-06-18,Kaden,20|45,L,245,84,45,56,68
LiShogi,2024-06-18,Dhruv,15|30,L,430,296,32,41,81
LiShogi,2024-06-18,Dhruv,15|30,W,166,363,23,37,62